County Name,State,Cases,Deaths,CasesPerCap,DeathsPerCap,TotalPop,IncomePerCap,Poverty,Unemployment
autauga county,alabama,19913,235,0.36181771931099643,0.00426993240787848,55036,27824,13.7,5.2
baldwin county,alabama,70521,731,0.3467791109362707,0.003594610542879622,203360,29364,11.8,5.5
barbour county,alabama,7582,104,0.28937826800503796,0.0039693141483149496,26201,17561,27.2,12.4
bibb county,alabama,8149,111,0.36089459698848536,0.00491585473870682,22580,20911,15.2,8.2
blount county,alabama,18872,261,0.3272582239409021,0.00452598539892833,57667,22021,15.6,4.9
bullock county,alabama,3057,54,0.2917541515556404,0.005153655277724756,10478,20856,28.5,12.1
butler county,alabama,6617,132,0.32877869422637385,0.006558680314021664,20126,19004,24.4,7.6
calhoun county,alabama,41931,683,0.3629541146225558,0.005912037878591152,115527,23638,18.6,10.1
chambers county,alabama,10935,172,0.3226139548605989,0.005074494763239416,33895,22002,18.8,6.4
cherokee county,alabama,6803,89,0.2631212531425256,0.0034422742216205764,25855,23010,16.1,5.3
chilton county,alabama,13073,221,0.2984362515694555,0.005045086177377011,43805,23368,19.4,6.7
choctaw county,alabama,2260,39,0.1713679102214134,0.002957233848953594,13188,20994,22.3,9.8
clarke county,alabama,8630,107,0.35045685279187816,0.004345177664974619,24625,20765,25.3,15.2
clay county,alabama,5223,94,0.3895726113224435,0.007011262773178191,13407,21330,19.1,6.4
cleburne county,alabama,4460,73,0.2985474261998795,0.004886538590267086,14939,20873,19.1,7.8
coffee county,alabama,17358,246,0.33986646564721085,0.004816635012628982,51073,26216,16.1,6.0
colbert county,alabama,21616,279,0.39709745568108756,0.00512537889225682,54435,23675,16.8,6.9
conecuh county,alabama,3654,76,0.2888765910348644,0.006008380109099534,12649,16337,26.4,14.5
coosa county,alabama,3805,64,0.3473299863076221,0.005842081241442264,10955,20342,14.4,11.3
covington county,alabama,11885,266,0.31677283509688425,0.007089741197793118,37519,22431,17.6,10.7
crenshaw county,alabama,4766,111,0.34371844800230783,0.008005192557334487,13866,21580,17.6,6.4
cullman county,alabama,31723,400,0.3882721564691627,0.004895781060670967,81703,21857,16.4,5.8
dale county,alabama,16715,245,0.3384082764764238,0.004960217034802502,49393,23194,19.6,10.4
dallas county,alabama,11099,260,0.27233468286099866,0.006379585326953748,40755,18248,31.9,13.7
dekalb county,alabama,22664,347,0.31834143326684833,0.004874006236480603,71194,20020,21.5,5.1
elmore county,alabama,30079,364,0.37139611552186097,0.004494437516205905,80989,26251,13.5,7.3
escambia county,alabama,12549,181,0.333563701124372,0.004811142712846548,37621,18164,23.8,13.7
etowah county,alabama,34402,696,0.33357250901756974,0.006748632820075243,103132,22278,17.9,7.6
fayette county,alabama,5949,100,0.3571471453442997,0.006003482019571352,16657,21191,18.1,8.4
franklin county,alabama,12248,154,0.388739010378646,0.004887802710508776,31507,19314,23.0,8.2
geneva county,alabama,8001,174,0.3011064278187566,0.006548246274273671,26572,21084,22.5,8.9
greene county,alabama,2351,54,0.27551857494433374,0.006328372202039142,8533,14197,38.8,14.8
hale county,alabama,5793,110,0.3863287762587529,0.007335778592864288,14995,20269,26.1,11.7
henry county,alabama,5915,79,0.3457042665108124,0.0046171829339567505,17110,23983,13.7,6.7
houston county,alabama,32948,532,0.31647904099588886,0.005110077995927306,104108,24781,18.5,7.6
jackson county,alabama,18504,257,0.35362917096663227,0.0049115162634254484,52326,20946,19.0,7.7
jefferson county,alabama,240736,2536,0.3650501925818094,0.0038455706183847392,659460,29456,17.6,7.7
lamar county,alabama,4819,74,0.3436987376078739,0.00527779758933029,14021,21152,23.1,7.9
lauderdale county,alabama,30743,423,0.3320336969435144,0.004568527918781726,92590,25803,16.3,6.6
lawrence county,alabama,9487,181,0.2849975967315549,0.005437394857005527,33288,22419,16.6,7.2
lee county,alabama,48087,373,0.3070748481771681,0.002381910253708564,156597,26170,22.0,5.7
limestone county,alabama,32491,324,0.35433775014995367,0.0035334532962538853,91695,26685,14.8,7.1
lowndes county,alabama,3410,81,0.32908704883227174,0.00781702374059062,10362,18976,30.2,11.2
macon county,alabama,5337,90,0.2756999690050625,0.004649240624031408,19358,19564,25.9,14.5
madison county,alabama,117283,1068,0.33204610249339633,0.0030236712691775218,353213,34232,13.6,6.5
marengo county,alabama,6118,116,0.3098819834878185,0.005875500177278023,19743,22996,25.6,12.8
marion county,alabama,10209,161,0.33964335617805574,0.00535631113181183,30058,21835,17.6,5.5
marshall county,alabama,33237,411,0.35083071206907473,0.004338280309907324,94738,22710,21.0,6.5
mobile county,alabama,135840,1810,0.3278561912301365,0.0043685196269622134,414328,24347,19.3,7.5
monroe county,alabama,6796,88,0.3125316164635548,0.004046907335019545,21745,17264,33.7,21.6
montgomery county,alabama,74623,1016,0.32856199365973937,0.004473406128918634,227120,26712,20.8,7.6
morgan county,alabama,46965,554,0.39414386062086154,0.004649328197252365,119157,25013,16.6,6.5
perry county,alabama,2701,49,0.2790289256198347,0.00506198347107438,9680,13449,41.9,11.8
pickens county,alabama,6520,122,0.3232523549826475,0.006048587010411503,20170,20089,22.9,12.2
pike county,alabama,9335,144,0.28043981133775947,0.0043260131582900235,33287,20808,26.3,8.7
randolph county,alabama,6593,80,0.2926320461606747,0.003550821127385708,22530,20983,18.7,5.8
russell county,alabama,13152,101,0.22489740082079343,0.0017270861833105335,58480,21279,20.9,9.7
st. clair county,alabama,33629,443,0.3868203411665919,0.00509564397207173,86937,24686,13.7,5.8
shelby county,alabama,78788,488,0.377479985243459,0.0023380493577550895,208721,35330,8.3,4.3
sumter county,alabama,3226,55,0.24656068480586976,0.00420360745949251,13084,14739,36.0,13.4
talladega county,alabama,28816,402,0.35624567302937393,0.004969834833349817,80888,21382,19.3,10.0
tallapoosa county,alabama,14744,255,0.36176268524879773,0.006256747472764747,40756,22430,21.2,9.2
tuscaloosa county,alabama,72031,858,0.3523607795562165,0.004197158846319414,204424,24895,17.3,6.7
walker county,alabama,24499,482,0.37733146456789934,0.007423722026275664,64927,21217,21.5,10.0
washington county,alabama,4422,61,0.2640630598351845,0.003642660933954377,16746,23239,22.0,11.0
wilcox county,alabama,3721,48,0.3407821229050279,0.0043960069603443536,10919,15774,31.9,17.2
winston county,alabama,9528,143,0.39753004005340453,0.005966288384512684,23968,20580,18.7,9.4
aleutians east borough,alaska,796,2,0.23846614739364888,0.0005991611743559018,3338,31254,16.7,2.4
aleutians west census area,alaska,1167,3,0.20176348547717843,0.0005186721991701245,5784,35998,7.5,1.9
bethel census area,alaska,13359,48,0.7439438659018767,0.002673052291585454,17957,18654,27.0,19.3
bristol bay borough,alaska,608,2,0.6630316248636859,0.0021810250817884407,917,42002,7.1,6.8
denali borough,alaska,477,1,0.20712114633087278,0.0004342162396873643,2303,33084,15.5,1.9
dillingham census area,alaska,2269,13,0.4561720948934459,0.002613590671491757,4974,24647,16.6,11.4
fairbanks north star borough,alaska,32247,171,0.32237006527976325,0.0017094700642800733,100031,35328,7.7,8.0
haines borough,alaska,791,2,0.3117855735120221,0.0007883326763894363,2537,35907,8.4,2.7
hoonah-angoon census area,alaska,0,0,0.0,0.0,2146,33704,11.1,11.7
kenai peninsula borough,alaska,21340,125,0.36817860285364296,0.0021566225565466434,57961,33336,11.0,8.6
ketchikan gateway borough,alaska,5013,27,0.3647144416151328,0.00196435067297199,13745,33771,10.6,7.0
kodiak island borough,alaska,5702,13,0.4139984026718943,0.0009438756988310463,13773,32625,9.3,5.3
kusilvak census area,alaska,1508,4,0.1855086726534629,0.0004920654447041457,8129,11693,39.1,28.8
lake and peninsula borough,alaska,121,0,0.0930053804765565,0.0,1301,23434,16.5,13.2
matanuska-susitna borough,alaska,40348,276,0.39895189598062,0.0027290255598951896,101135,30409,9.8,9.8
nome census area,alaska,7672,7,0.7773837268213598,0.0007092917215523356,9869,20952,24.9,16.6
